,time_sec,amplitude
306,0.85,-0.34
307,0.852777778,-0.32
308,0.855555556,-0.28
309,0.858333333,-0.285
310,0.861111111,-0.31
311,0.863888889,-0.36
312,0.866666667,-0.375
313,0.869444444,-0.34
314,0.872222222,-0.31
315,0.875,-0.31
316,0.877777778,-0.305
317,0.880555556,-0.32
318,0.883333333,-0.32
319,0.886111111,-0.35
320,0.888888889,-0.35
321,0.891666667,-0.325
322,0.894444444,-0.3
323,0.897222222,-0.32
324,0.9,-0.38
325,0.902777778,-0.395
326,0.905555556,-0.335
327,0.908333333,-0.275
328,0.911111111,-0.26
329,0.913888889,-0.29
330,0.916666667,-0.33
331,0.919444444,-0.335
332,0.922222222,-0.33
333,0.925,-0.325
334,0.927777778,-0.27
335,0.930555556,-0.145
336,0.933333333,0.045
337,0.936111111,0.28
338,0.938888889,0.535
339,0.941666667,0.83
340,0.944444444,1.105
341,0.947222222,1.335
342,0.95,1.5
343,0.952777778,1.51
344,0.955555556,1.27
345,0.958333333,0.865
346,0.961111111,0.41
347,0.963888889,0
348,0.966666667,-0.255
349,0.969444444,-0.33
350,0.972222222,-0.33
351,0.975,-0.315
352,0.977777778,-0.325
353,0.980555556,-0.32
354,0.983333333,-0.27
355,0.986111111,-0.26
356,0.988888889,-0.29
357,0.991666667,-0.335
358,0.994444444,-0.33
359,0.997222222,-0.345
360,1,-0.35
361,1.002777778,-0.335
362,1.005555556,-0.305
363,1.008333333,-0.3
364,1.011111111,-0.34
365,1.013888889,-0.36
366,1.016666667,-0.37
367,1.019444444,-0.38
368,1.022222222,-0.38
369,1.025,-0.37
370,1.027777778,-0.35
371,1.030555556,-0.325
372,1.033333333,-0.305
373,1.036111111,-0.295
374,1.038888889,-0.275
375,1.041666667,-0.305
376,1.044444444,-0.325
377,1.047222222,-0.345
378,1.05,-0.335
379,1.052777778,-0.335
380,1.055555556,-0.335
381,1.058333333,-0.36
382,1.061111111,-0.365
383,1.063888889,-0.35
384,1.066666667,-0.38
385,1.069444444,-0.41
386,1.072222222,-0.395
387,1.075,-0.385
388,1.077777778,-0.36
389,1.080555556,-0.34
390,1.083333333,-0.345
391,1.086111111,-0.325
392,1.088888889,-0.3
393,1.091666667,-0.295
394,1.094444444,-0.285
395,1.097222222,-0.29
396,1.1,-0.295
397,1.102777778,-0.285
398,1.105555556,-0.275
399,1.108333333,-0.275
